1st Colonial Bancorp Inc,1ST & 10 TEAM FOOTBALL CAMP INC.,FALSE
Abbott Laboratories,ABBOTT LABORATORIES,TRUE
AdStar Inc,"ADSTAR ADVERTISING, INC.",FALSE
Ajinomoto USA Inc,"AJINOMOTO COMPANY OF NEW YORK, INC.",FALSE
American Bank Inc,"AMERICAN BANK BUILDERS USA, INC.",FALSE
Andrea Electronics Corp,ANDREA ELECTRONICS CORPORATION,TRUE
Applied Industrial Technologies Inc,APPLIED INDUSTRIAL MATERIALS CORPORATION,FALSE
Arent Fox LLP,"ARENT FOX KINTNER PLOTKIN & KAHN, PLLC",FALSE
Ashland Inc,"ASHLAND ADVANCED MATERIALS, LLC",FALSE
Astro Communications Inc,ASTRO 173 LLC,FALSE
Atlantic Express Transportation Corp,ATLANTIC EXPRESS TRANSPORTATION CORP.,FALSE
Ball Corp,BALL & ALBANESE LLC,FALSE
Bank of the Ozarks Inc,BANK OF OZARKS INC,TRUE
CCI Group Inc,"CCI GROUP, INC.",FALSE
Cherry Hill Mortgage Investment Corp,CHERRY HILL MORTGAGE INVESTMENT CORPORATION,FALSE
City Holding Co,CITY HOLDING LLC,FALSE
Community Bancorp Inc/VT,"COMMUNITY BANCORP, INC.",TRUE
Covington & Burling,COVINGTON & BURLING LLP,FALSE
CTS Corp,"CTS & ASSOCIATES, LLC",FALSE
Dollar General Corp,DOLLAR GENERAL CORPORATION,TRUE
Douglas Dynamics Inc,"DOUGLAS DYNAMICS, INC.",FALSE
Eastern Co/The,EASTERN & CENTRAL EUROPE TRAVEL BOARD INC.,FALSE
First Community Financial Partners Inc,"FIRST ""SUCHOSTAWER"" BENEVOLENT ASSOCIATION",FALSE
First Hartford Corp,FIRST HARTFORD CORPORATION,TRUE
Firstmark Corp,FIRSTMARK CAPITAL CORPORATION,FALSE
General Communication Inc,"GENERAL & COSMETIC DENTAL CARE, P.C.",FALSE
Genesis Financial Inc,"GENESIS FINANCIAL GROUP, INC.",FALSE
Global Futures & Forex Ltd,"GLOBAL FUTURES & FOREX, LTD.",TRUE
Graceco LLC,"GRACECO SOLUTIONS, INC.",FALSE
Greenwood Properties LLC,GREENWOOD PROPERTIES CORP.,FALSE
Hollingsworth LLP,HOLLINGSWORTH & VOSE COMPANY,FALSE
Hubbell Inc,"HUBBELL & ABBOTT, INC.",FALSE
Jones Group Inc/The,JONES GROUP FORENSIC ENGINEERS,FALSE
Journal Communications Inc,JOURNAL BROKERAGE LTD.,FALSE
Matson Inc,"MATSON & KELLOGG BENEFITS GROUP, LLC",FALSE
Mercury Overseas Inc,MERCURY OVERSEAS INC.,TRUE
Metal Arts Inc,METAL ARTS HARDWARE LLC,FALSE
Metropolitan Baptist Church,"METROPOLITAN BAPTIST CHURCH OUTREACH MINISTRY, INC.",FALSE
National Fuel Gas Co,NATIONAL FUEL GAS COMPANY,TRUE
Noda LLC,NODA ART CORP,FALSE
Oculus VisionTech Inc,OCULANT LLC,FALSE
OEC Holdings Inc,"OEC HOLDINGS, LLC",FALSE
Point.360,POINT.360,TRUE
Providence and Worcester Railroad Co,PROVIDENCE AND WORCESTER RAILROAD COMPANY,FALSE
Quality Assets,"QUALITY ASSETS, INC.",FALSE
Radius Finance LLC,"RADI 8 TECHNOLOGIES, INC.",FALSE
Raven Industries Inc,"RAVEN INDUSTRIES, INC.",TRUE
ROM Corp/MO,ROM & JAY USA INC,FALSE
RSMC LLC,"RSMCC, INC.",FALSE
Stanley Black & Decker Inc,"STANLEY BLACK & DECKER, INC.",TRUE
Syncsort Inc,SYNCSORT INCORPORATED,FALSE
Tivoli Systems Subsidiary Inc,TIVOLI SYSTEMS SUBSIDIARY INC.,FALSE
Triplett Corp,"TRIPLETT AUTO RECYCLERS, INC.",FALSE
Trustmark Corp,TR & CE CORP.,FALSE
Tuscaloosa Public Educational Building Authority,"T ""N"" D BROTHERS INC.",FALSE
Tutor Perini Corp,TUTOR PERINI BUILDING CORP.,TRUE
Universal Manufacturing Co,UNIVERSAL MANUFACTURING AND MARKETING COMPANY LLC,FALSE
VSB Bancorp Inc/NY,"VSB BANCORP, INC.",TRUE
Werner Enterprises Inc,"WERNER ENTERPRISES, INC.",FALSE
Zywave Inc,ZYWAVE L.P.,FALSE
